owner,total_votes,producer_key,is_active,unreg_reason,url,unpaid_blocks,lifetime_produced_blocks,missed_blocks_per_rotation,lifetime_missed_blocks,last_claim_time,location,kick_reason_id,kick_reason,times_kicked,kick_penalty_hours,last_time_kicked
nebulablocks,166002136478.81951904296875000,EOS59xrvESTgzoLHN7Cq6D7KX8tazr8FXTS4ZkZHD5qnqTCRXdGTG,1,,https://bp.nebulaprotocol.com,0,37091,0,3961,2019-07-12T06:46:12.500,233,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-07-09T21:54:06.500
octagontelos,242038203919.74386596679687500,EOS688gt4GZ7ExeBzn1Z78X9ug583WqVPGMtDdbfmfnVnGPb7yiKG,1,,https://octagonlabs.org,60,1579645,0,5756,2019-07-12T06:46:12.500,826,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-06-17T21:16:30.500
sanfranc1sco,55148868134.29921722412109375,EOS51gCJUXLdBWZUfsfmE7JTyV1Ec8viaQcoinok1BsVot2Rz8LXn,1,,http://bp.eossf.net,0,32951,0,0,2019-07-12T06:46:12.500,184,0,,0,0,2000-01-01T00:00:00.000
southafrica1,127612333369.09985351562500000,EOS7uUCaqFvVYwRM1NyL3DNjGSnL3j668weCrhU3UA1mBgNomVPB1,1,,https://eosza.io,0,65882,0,10,2019-07-12T06:46:12.500,710,0,,0,0,2000-01-01T00:00:00.000
swedencornet,166133666470.37112426757812500,EOS56tC7rVHKnsFi5fhaPtbMF5nZuYRji6QhbtfDzxyxYsK8CLYF4,1,,https://eossweden.eu/telos,0,53533,0,12,2019-07-12T06:46:12.500,752,0,,0,0,2000-01-01T00:00:00.000
telasiachina,10222792484.50212287902832031,EOS1111111111111111111111111111111114T1Anm,0,,https://www.telasiachina.com,0,9009,0,6794,2019-05-02T07:45:54.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-05-02T08:02:36.500
telawakeiobp,90687781894.33750915527343750,EOS7HjD87RMNuqujYbKi7YJrYqL4mX7xyAx26bn69DEYkUk21QooF,1,,https://eosawake.io,60,57047,0,14,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telbeststore,95677.27288210391998291,EOS1111111111111111111111111111111114T1Anm,0,,https://www.eosstore.io,0,0,0,0,2018-12-29T13:15:15.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-29T18:03:16.000
teldotwikibp,86000.00000000000000000,EOS1111111111111111111111111111111114T1Anm,0,,https://eos.wiki,0,0,0,0,2018-12-28T07:45:15.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-28T08:11:02.000
teleclipse24,81626008001.80850219726562500,EOS8Mr8bWmY4uBZ5NzcGMJwqxkEKEf4EstqfzvCj6UVYeTv7Pmyo5,1,,https://telos.eclipse24.io,0,47817,0,4,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telgoingos13,272877045.33428001403808594,EOS1111111111111111111111111111111114T1Anm,0,,http://www.goingos.org,0,0,0,0,2018-12-20T19:45:15.000,0,0,,0,0,2000-01-01T00:00:00.000
telgoingosbp,15615560011.48663330078125000,EOS1111111111111111111111111111111114T1Anm,0,,https://www.goingos.org,0,4116,0,1320,2019-03-18T18:15:36.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-03-18T18:44:54.500
telos1russia,20313263924.58702087402343750,EOS1111111111111111111111111111111114T1Anm,0,,https://telosrussia.io,0,33310,0,1320,2019-03-15T18:15:36.500,643,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-03-15T18:39:30.500
telosafrica1,30123858580.12004089355468750,EOS1111111111111111111111111111111114T1Anm,0,,https://telosafrica.co,0,0,0,1320,2019-05-17T20:16:00.500,566,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-05-17T20:24:36.500
telosafrique,81085283579.06315612792968750,EOS6f185z9wQEJ8cqj2jJCxDoiq7h61p5Y6uWqN3B8P2pHta8sQNp,1,,http://telos.eosnairobi.io,0,37077,0,4020,2019-07-12T06:46:12.500,404,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-04-29T19:59:12.500
telosarabia1,40968610869.83142089843750000,EOS7vQ1XAecSFoBk83ku14FK2HGNvDM3GLC1VARELwLngnQL5be91,1,,https://telosarabia.net,0,20592,0,0,2019-07-11T17:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
teloscantons,150573730811.05352783203125000,EOS69ECgLTUWXk31ZSxrpno88MFqxXTN8JRMZXHGrMNWH53kqA1ZH,1,,https://www.teloscanton.io,0,269231,0,1370,2019-07-12T06:46:12.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-05-23T08:30:54.500
teloscentral,248028449125.77938842773437500,EOS74hEm6bB7txDUcmWck6gHnmfbP6atRynZR3fEsNozt7yweTKip,1,,https://teloscentral.com,60,699450,0,1054,2019-07-12T06:46:12.500,276,0,,0,0,2000-01-01T00:00:00.000
telosdacnode,302871949253.04852294921875000,EOS8fBHWo89rNCj25nPwyszjoHMvG6D4CpJBEHco5uLbx6CmWXnAi,1,,https://www.telosdac.io,60,1606298,0,2070,2019-07-12T06:46:12.500,826,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-02-24T18:09:54.500
telosdubaibp,245018.61672293668380007,EOS1111111111111111111111111111111114T1Anm,0,,telosdubaibp.net,0,0,0,0,2018-12-18T21:25:37.000,784,0,,0,0,2000-01-01T00:00:00.000
telosgermany,224055243222.75549316406250000,EOS8LjFFhFmrzoobfZspEBsU4BFm5zCjSGEecGTYann2W86W3wK2R,1,,https://telosgermany.io,0,46100,0,193,2019-07-12T06:46:12.500,276,0,,0,0,2000-01-01T00:00:00.000
telosghanago,29658798227.49235534667968750,EOS1111111111111111111111111111111114T1Anm,0,,https://telosghana.co,0,0,0,1320,2019-07-02T09:16:07.000,288,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-07-02T09:41:24.500
telosglobal1,298863799483.50213623046875000,EOS7LAUhhdYr6CgW9TFMSYLxjv83h44xVbewfCS8CK66BinxLjymi,1,,https://telosglobal.io,60,1562445,0,644,2019-07-12T06:46:12.500,840,0,,0,0,2000-01-01T00:00:00.000
telosgoooooo,8933339698.59902381896972656,EOS8GTr3DNjZj8sX1QR2cCK3b13dqR5TBcvCeSM1YRp5wAeHueViX,1,,https://telosgo.com,0,0,0,0,2019-02-01T07:04:02.000,0,0,,0,0,2000-01-01T00:00:00.000
telosgreenbp,279734834998.39404296875000000,EOS71Jn2wt32tEru3xSaFjeMES2gXiXgGarmDeuotVUtM5Puf23b2,1,,http://telosgreen.com,70,1576770,93,3005,2019-07-12T06:46:12.500,752,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-03-25T06:55:48.500
teloshexagon,22109558.55145382881164551,EOS1111111111111111111111111111111114T1Anm,0,,https://eoshexagon.com,0,0,0,0,2019-01-17T05:55:11.000,7,2,Producer account was deactivated by vote.,1,168,2019-01-18T04:12:28.500
telosintasia,112566664085.35450744628906250,EOS5ha1vtA7nG4vzU4NjTkTUhZAEmQUnF2gjshg1qgPoWkXK9sPbe,1,,https://ikuwara.com,0,57684,0,0,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telosmadrid1,287461669488.34234619140625000,EOS8LSnCvd5CaN6sa5wbsFtJ2ZyPfyvXDcP5jBhxvnn33xAracDh8,1,,https://telosmadrid.io,0,1597929,0,359,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telosmiamibp,303261003785.12573242187500000,EOS6aaA2VnWhzYhmkV9gSRofCkS9GcLF8QpRpjybWPsrFjSRVNvxL,1,,https://telos.miami,72,1615201,2,102,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telosnewyork,156803974510.88577270507812500,EOS5d1F4wHMdfuYeCJoQrsjkf3nTT9nTmiTSuxn67RFUg4pSXsuRd,1,,http://www.nytelos.com,0,520010,0,2795,2019-07-12T06:46:12.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-05-07T08:11:24.500
telosnigeria,30209912769.94092559814453125,EOS1111111111111111111111111111111114T1Anm,0,,https://eosnigeria.io,0,0,0,1320,2019-06-02T08:46:06.500,566,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-06-02T08:49:36.500
telosuknodes,291925385890.12377929687500000,EOS6iNEu8SXrZVpeRaUzsgTUGX1tgUYQoEjJz6KgmNtkdqKjcH27c,1,,https://telosuk.io,72,1601382,0,21,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telosunlimit,87746618545.50988769531250000,EOS6uHrVaN5sUf6KyS1QPkqCT23owktbaW8pxKcdhhCPFUmTWEQgw,1,,http://telosunlimited.io/,0,42494,0,10,2019-07-12T06:46:12.500,124,0,,0,0,2000-01-01T00:00:00.000
telosvoyager,126224477260.85281372070312500,EOS7kJo3Ezsbc5Y4BeAhzfRtXQ1mUGeVamJAbA1LXkQcNtjFChi9Z,1,,http://www.telosvoyager.io,0,137126,0,0,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
telstorebest,86000.00000000000000000,EOS1111111111111111111111111111111114T1Anm,0,,https://www.eosstore.co,0,0,0,0,2018-12-28T06:15:15.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-28T08:11:13.500
theteloscope,293638227039.89605712890625000,EOS5AUGHMZqpcSwTQY2fMDrUS38j2FmbiKbTQmXAoQbtuAC6JyZcq,1,,https://theteloscope.io,72,1042697,0,1189,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
tlosimperabp,208856947458.06060791015625000,EOS7mwQMibEXWdaA8MMHmMQH9qPX8W9YWpKTQi2HBkTDEbYSNbZdB,1,,https://eosimpera.io,0,49440,0,3,2019-07-12T06:46:12.500,380,0,,0,0,2000-01-01T00:00:00.000
tlsvancouver,232559446076.35342407226562500,EOS5FhxNtX12oXngrXtHzgbMgG8BZSY26jr92WHRYr6yfGo6kYr4g,1,,https://www.telosvancouver.io,0,1575367,0,1057,2019-07-12T06:46:12.500,124,0,,0,0,2000-01-01T00:00:00.000
tlsvenezuela,294021926957.99517822265625000,EOS7JepMijmBFKNMmQZJHt1k7iv6gsbS9rhPY2auxsRC7Supf65aE,1,,https://telosvenezuela.com,72,1606113,0,3887,2019-07-12T06:46:12.500,862,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-02-24T06:47:18.500
tokenika4tls,95233624746.64291381835937500,EOS56z3mY8zDnoa7wE8b25oTqsrbpKSWfqztyqAqjMLjmkPMCRh2z,1,,https://tokenika.io/telos,0,41184,0,0,2019-07-12T06:46:12.500,616,0,,0,0,2000-01-01T00:00:00.000
votedutcheos,273355938391.58804321289062500,EOS7Nt4qswS6PgFnxd4SUdM5tEr86fbGr5yKoKcMPQcXwdJTMaY2S,1,,https://dutcheos.io/telos,72,1620440,0,30,2019-07-12T06:46:12.500,528,0,,0,0,2000-01-01T00:00:00.000
votetelosusa,162176299719.11044311523437500,EOS5D2Xfg39dfiXYs84FvvEccLD23d1PPmkv8SoU3EgYCjhRtWbzb,1,,https://bp.telosusa.io/telos,0,16174,0,290,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
zionblockbp1,3173882.00000044237822294,EOS1111111111111111111111111111111114T1Anm,0,,https://telos.block26.com,0,0,0,0,2019-02-10T09:33:46.500,0,0,,0,0,2000-01-01T00:00:00.000
